panel,target,model_path,post,pre,shock,RDR_shock_over_pre,RDR_post_over_pre,RSI_cv_across_regimes,has_fallback_block,interpretation_note
Production_12c,Production C16,ETS,1.358667720746507,1.161808490223486,1.458774897031697,1.255607020698468,1.169442065692904,0.1139062563815929,False,No fallback flag for this model path.
Production_12c,Production C16,LightGBM_path,1.360106582689802,0.3775592533967942,1.419053510676494,3.758492204626611,3.602365908008628,0.5559886467889101,True,LightGBM path includes fallback-contingent block(s); do not interpret as fully valid ML robustness.
Production_12c,Production C16,Seasonal Naive,1.66247588746772,1.135239612996584,1.542625420817315,1.358854468393147,1.464427305420959,0.1910289914043276,False,No fallback flag for this model path.
Production_12c,Production C31,ETS,1.341146055061467,1.024422871528355,1.57306738668974,1.535564492369106,1.309172307975306,0.2097774666662889,False,No fallback flag for this model path.
Production_12c,Production C31,LightGBM_path,1.308073384581294,0.4284884726537436,1.60373697457617,3.742777406924854,3.052762134953237,0.549043484165431,True,LightGBM path includes fallback-contingent block(s); do not interpret as fully valid ML robustness.
Production_12c,Production C31,Seasonal Naive,1.351009320640053,1.198326676641967,1.727864808907386,1.441897975391257,1.127413206243513,0.1911736801851452,False,No fallback flag for this model path.
Production_8c,Production C16,ETS,1.377281869120391,1.314447752652323,1.301970252701816,0.9905074203783835,1.047802673283346,0.03032097138275131,False,No fallback flag for this model path.
Production_8c,Production C16,LightGBM_path,1.286388262925755,0.4056849932102174,1.400749801671962,3.452801619768378,3.170904234703046,0.5281566547104523,True,LightGBM path includes fallback-contingent block(s); do not interpret as fully valid ML robustness.
Production_8c,Production C16,Seasonal Naive,1.593509456610721,1.377316439694126,1.518739675167671,1.102680278400621,1.156966845588953,0.07336720273634814,False,No fallback flag for this model path.
Production_8c,Production C31,ETS,1.351304888589061,1.252247431158358,1.325754103520069,1.058699798883768,1.079103741773359,0.03926422514799151,False,No fallback flag for this model path.
Production_8c,Production C31,LightGBM_path,1.281321021146048,0.4904516769079847,1.386557000788582,2.827102171471867,2.61253265403034,0.4652668364989217,True,LightGBM path includes fallback-contingent block(s); do not interpret as fully valid ML robustness.
Production_8c,Production C31,Seasonal Naive,1.307733756518918,1.450308534559289,1.487497425054704,1.025642054507192,0.9016934847703315,0.06705209472452375,False,No fallback flag for this model path.
Trade_8c,Trade export,ETS,0.7835607635121201,1.773633132385161,1.398792540867913,0.7886594557392109,0.4417828857642035,0.3790785005087163,False,No fallback flag for this model path.
Trade_8c,Trade export,LightGBM_path,0.7657101796246589,0.8839661796929597,1.236538028270552,1.398852192173298,0.8662211261189017,0.2545952805812197,False,No fallback flag for this model path.
Trade_8c,Trade export,Seasonal Naive,1.14869517574329,1.785162822547893,1.507407267801129,0.8444088397772398,0.6434680138049269,0.2155404599636007,False,No fallback flag for this model path.
Trade_8c,Trade import,ETS,1.19423166421373,2.441804483992285,1.327552047969262,0.5436766361403146,0.4890775129797425,0.414045942939877,False,No fallback flag for this model path.
Trade_8c,Trade import,LightGBM_path,0.725434203843576,1.015258437692907,1.049417937347404,1.033646112542656,0.7145315684271157,0.1914035615679589,False,No fallback flag for this model path.
Trade_8c,Trade import,Seasonal Naive,1.083094269897713,2.289466177834296,1.354853600139991,0.5917770759215166,0.4730772091694572,0.4015786228011522,False,No fallback flag for this model path.
