panel,target,split_id,model,mean_mae,mean_rmse,mean_smape,mean_mase,countries
Production_12c,Production C16,S1,ETS,0.09146328378670267,0.1058956828521661,2.010867246386894,1.161808490223486,12
Production_12c,Production C16,S1,LightGBM,0.03004161596495679,0.03723944753852527,0.6618988591329046,0.3775592533967942,12
Production_12c,Production C16,S1,Seasonal Naive,0.08672413454077599,0.1003915339122034,1.937519313132846,1.135239612996584,12
Production_12c,Production C16,S2,ETS,0.1036367904200495,0.1351430686494974,2.316928579189434,1.458774897031697,12
Production_12c,Production C16,S2,LightGBM_fallback,0.0985306500506568,0.1320014744194992,2.199153418567775,1.419053510676494,12
Production_12c,Production C16,S2,Seasonal Naive,0.1108160877921356,0.1454099146101266,2.468786606305761,1.542625420817315,12
Production_12c,Production C16,S3,ETS,0.1023690227434054,0.1184648759913638,2.259682960997986,1.358667720746507,12
Production_12c,Production C16,S3,LightGBM_fallback,0.1017572485440786,0.1173960637330629,2.248426315056686,1.360106582689801,12
Production_12c,Production C16,S3,Seasonal Naive,0.1216834945836539,0.1410313800461283,2.680839947662067,1.66247588746772,12
Production_12c,Production C31,S1,ETS,0.08456329477432338,0.09680935499940785,1.876125904872057,1.024422871528354,12
Production_12c,Production C31,S1,LightGBM,0.03439914810238429,0.04581618902037613,0.7530015808354505,0.4284884726537436,12
Production_12c,Production C31,S1,Seasonal Naive,0.1033342632487403,0.1185786484867871,2.307120221923507,1.198326676641967,12
Production_12c,Production C31,S2,ETS,0.1158326656026147,0.2163817663649872,2.685312108387816,1.57306738668974,12
Production_12c,Production C31,S2,LightGBM_fallback,0.1175736936102374,0.2204534468027184,2.725569299541571,1.60373697457617,12
Production_12c,Production C31,S2,Seasonal Naive,0.1274299919314461,0.2246476108863152,2.943820071233079,1.727864808907386,12
Production_12c,Production C31,S3,ETS,0.09931957791981454,0.114591592439858,2.183486873304297,1.341146055061467,12
Production_12c,Production C31,S3,LightGBM_fallback,0.09537858474433582,0.1101640267905095,2.099406577576246,1.308073384581294,12
Production_12c,Production C31,S3,Seasonal Naive,0.1024227269871158,0.1203687919766269,2.251413155301289,1.351009320640053,12
Production_8c,Production C16,S1,ETS,0.1022958731315893,0.1191726601958303,2.245402606434618,1.314447752652323,8
Production_8c,Production C16,S1,LightGBM,0.03100711210509114,0.03889722978072558,0.6847979196676949,0.4056849932102174,8
Production_8c,Production C16,S1,Seasonal Naive,0.1010324828795107,0.1164237623222878,2.262725979565046,1.377316439694126,8
Production_8c,Production C16,S2,ETS,0.09277153277401394,0.1103035508577322,2.055661346159249,1.301970252701816,8
Production_8c,Production C16,S2,LightGBM_fallback,0.09831660367720496,0.116004738699162,2.177811594353965,1.400749801671962,8
Production_8c,Production C16,S2,Seasonal Naive,0.1129946620288245,0.1322836324254204,2.501399916754415,1.518739675167672,8
Production_8c,Production C16,S3,ETS,0.1026687085811839,0.120477286165602,2.262771130616885,1.377281869120391,8
Production_8c,Production C16,S3,LightGBM_fallback,0.09465913266516518,0.110151885312367,2.091428483570798,1.286388262925755,8
Production_8c,Production C16,S3,Seasonal Naive,0.1185003332253461,0.1388544573654017,2.608969392822492,1.593509456610721,8
Production_8c,Production C31,S1,ETS,0.1059716812656091,0.1205451499772045,2.358559660818146,1.252247431158358,8
Production_8c,Production C31,S1,LightGBM,0.04033871599428022,0.05276334008113007,0.8858125464032525,0.4904516769079847,8
Production_8c,Production C31,S1,Seasonal Naive,0.1233596480847211,0.1410446860041669,2.765268210146325,1.450308534559289,8
Production_8c,Production C31,S2,ETS,0.1042512367200032,0.1623639248983277,2.340922799335047,1.325754103520069,8
Production_8c,Production C31,S2,LightGBM_fallback,0.108427026746007,0.1682437453068112,2.43582403009092,1.386557000788582,8
Production_8c,Production C31,S2,Seasonal Naive,0.1185962725667275,0.1758561636491442,2.662225207305974,1.487497425054704,8
Production_8c,Production C31,S3,ETS,0.1088334579930901,0.1231385582988503,2.387159328611643,1.351304888589061,8
Production_8c,Production C31,S3,LightGBM_fallback,0.1015557701276183,0.1163574449834477,2.231405867762922,1.281321021146048,8
Production_8c,Production C31,S3,Seasonal Naive,0.1064549782977082,0.1240715401096458,2.336599131549073,1.307733756518918,8
Trade_8c,Trade export,T1,ETS,0.2349975881275341,0.2687142792165044,1.328313731508149,1.773633132385161,8
Trade_8c,Trade export,T1,LightGBM,0.1165729431900351,0.1388238687900182,0.641902548661056,0.8839661796929597,8
Trade_8c,Trade export,T1,Seasonal Naive,0.2310400761556189,0.2637131003709627,1.308481902633351,1.785162822547893,8
Trade_8c,Trade export,T2,ETS,0.1653518434571228,0.2177218361798162,0.9274932214083498,1.398792540867913,8
Trade_8c,Trade export,T2,LightGBM,0.1461585946125396,0.2035274247661991,0.8151910003887156,1.236538028270552,8
Trade_8c,Trade export,T2,Seasonal Naive,0.179313478420146,0.2362450369589116,1.005296566965649,1.507407267801129,8
Trade_8c,Trade export,T3,ETS,0.09530617076777848,0.1137566697787061,0.5306813096845487,0.7835607635121202,8
Trade_8c,Trade export,T3,LightGBM,0.09574220491729796,0.1160667592719743,0.5260249057520432,0.7657101796246588,8
Trade_8c,Trade export,T3,Seasonal Naive,0.1399454692580894,0.1653854621049726,0.7783263054440008,1.14869517574329,8
Trade_8c,Trade import,T1,ETS,0.3926218383458511,0.4476194935593404,2.341384901987776,2.441804483992285,8
Trade_8c,Trade import,T1,LightGBM,0.1408115292905334,0.174583437770551,0.8192493644077949,1.015258437692907,8
Trade_8c,Trade import,T1,Seasonal Naive,0.3666723700299516,0.4248634075145056,2.184225474044109,2.289466177834296,8
Trade_8c,Trade import,T2,ETS,0.1929392899880642,0.2318298591487797,1.129282002898633,1.327552047969262,8
Trade_8c,Trade import,T2,LightGBM,0.1496858478285185,0.1997047179226425,0.8781058527758183,1.049417937347404,8
Trade_8c,Trade import,T2,Seasonal Naive,0.2014595926752023,0.2527118320571786,1.183573646927436,1.354853600139991,8
Trade_8c,Trade import,T3,ETS,0.1928398697187706,0.2178864425692091,1.123228657489255,1.19423166421373,8
Trade_8c,Trade import,T3,LightGBM,0.109042900068191,0.1345030375037146,0.6283909951443266,0.7254342038435759,8
Trade_8c,Trade import,T3,Seasonal Naive,0.1827285436088771,0.2108628775798565,1.089471043586899,1.083094269897713,8
